Timestamp,Device, avail, block, Cmode, dev_asset_chg, dev_asset_rem, estop, execution, line, mode, msg, power, program, tool_id
5/28/2016 15:06:33:218,VMC-3Axis, AVAILABLE, X0.035589 Y1.915669, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 49, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:33:421,VMC-3Axis, AVAILABLE, X0.226423 Y1.900560, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 50, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:33:640,VMC-3Axis, AVAILABLE, X0.226423 Y1.900560, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 50, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:33:882,VMC-3Axis, AVAILABLE, X0.414597 Y1.866508, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 51, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:34:101,VMC-3Axis, AVAILABLE, X0.414597 Y1.866508, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 51, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:34:355,VMC-3Axis, AVAILABLE, X0.414597 Y1.866508, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 51, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:34:570,VMC-3Axis, AVAILABLE, X0.598240 Y1.813893, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 52, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:34:785,VMC-3Axis, AVAILABLE, X0.598240 Y1.813893, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 52, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:34:996,VMC-3Axis, AVAILABLE, X0.775525 Y1.743280, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 53, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:35:207,VMC-3Axis, AVAILABLE, X0.775525 Y1.743280, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 53, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:35:429,VMC-3Axis, AVAILABLE, X0.944697 Y1.655410, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 54, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:35:652,VMC-3Axis, AVAILABLE, X0.944697 Y1.655410, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 54, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:35:859,VMC-3Axis, AVAILABLE, X1.104083 Y1.551198, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 55, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:36:062,VMC-3Axis, AVAILABLE, X1.104083 Y1.551198, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 55, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:36:261,VMC-3Axis, AVAILABLE, X1.104083 Y1.551198, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 55, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:36:464,VMC-3Axis, AVAILABLE, X1.252112 Y1.431719, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 56, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:36:691,VMC-3Axis, AVAILABLE, X1.252112 Y1.431719, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 56, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:36:925,VMC-3Axis, AVAILABLE, X1.387330 Y1.298197, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 57, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:37:132,VMC-3Axis, AVAILABLE, X1.387330 Y1.298197, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 57, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:37:343,VMC-3Axis, AVAILABLE, X1.508413 Y1.151996, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 58, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:37:550,VMC-3Axis, AVAILABLE, X1.508413 Y1.151996, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 58, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:37:757,VMC-3Axis, AVAILABLE, X1.508413 Y1.151996, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 58, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:37:964,VMC-3Axis, AVAILABLE, X1.614182 Y0.994602, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 59, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:38:164,VMC-3Axis, AVAILABLE, X1.614182 Y0.994602, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 59, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:38:367,VMC-3Axis, AVAILABLE, X1.703613 Y0.827609, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 60, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:38:566,VMC-3Axis, AVAILABLE, X1.703613 Y0.827609, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 60, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:38:785,VMC-3Axis, AVAILABLE, X1.703613 Y0.827609, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 60, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:38:988,VMC-3Axis, AVAILABLE, X1.775848 Y0.652707, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 61, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:39:199,VMC-3Axis, AVAILABLE, X1.775848 Y0.652707, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 61, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
5/28/2016 15:06:39:398,VMC-3Axis, AVAILABLE, X1.830202 Y0.471658, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 62, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
