Timestamp,Device, avail, block, Cmode, dev_asset_chg, dev_asset_rem, estop, execution, line, mode, msg, power, program, tool_id
4/1/2016 13:36:34:109,VMC-3Axis, AVAILABLE, X0.524225 Y0.881966, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 494, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:34:363,VMC-3Axis, AVAILABLE, X0.608467 Y0.823616, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 495, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:34:613,VMC-3Axis, AVAILABLE, X0.608467 Y0.823616, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 495, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:34:867,VMC-3Axis, AVAILABLE, X0.686309 Y0.757274, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 496, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:35:109,VMC-3Axis, AVAILABLE, X0.756997 Y0.683634, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 497, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:35:347,VMC-3Axis, AVAILABLE, X0.819854 Y0.603459, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 498, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:35:589,VMC-3Axis, AVAILABLE, X0.874283 Y0.517577, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 499, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:35:824,VMC-3Axis, AVAILABLE, X0.919772 Y0.426866, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 500, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:36:058,VMC-3Axis, AVAILABLE, X0.955904 Y0.332253, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 501, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:36:296,VMC-3Axis, AVAILABLE, X0.982353 Y0.234697, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 502, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:36:531,VMC-3Axis, AVAILABLE, X0.998894 Y0.135185, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 503, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:36:765,VMC-3Axis, AVAILABLE, X1.005401 Y0.034718, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 504, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:37:00,VMC-3Axis, AVAILABLE, X1.001848 Y-0.065697, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 505, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:37:238,VMC-3Axis, AVAILABLE, X1.001848 Y-0.065697, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 505, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:37:589,VMC-3Axis, AVAILABLE, X0.964966 Y-0.262375, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 507, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:37:824,VMC-3Axis, AVAILABLE, X0.932084 Y-0.356685, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 508, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:38:062,VMC-3Axis, AVAILABLE, X0.890031 Y-0.447059, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 509, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:38:304,VMC-3Axis, AVAILABLE, X0.890031 Y-0.447059, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 509, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:38:546,VMC-3Axis, AVAILABLE, X0.839264 Y-0.532608, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 510, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:38:785,VMC-3Axis, AVAILABLE, X0.780326 Y-0.612499, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 511, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:39:035,VMC-3Axis, AVAILABLE, X0.713838 Y-0.685956, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 512, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:39:281,VMC-3Axis, AVAILABLE, X0.640494 Y-0.752271, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 513, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:39:515,VMC-3Axis, AVAILABLE, X0.561054 Y-0.810811, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 514, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:39:753,VMC-3Axis, AVAILABLE, X0.476337 Y-0.861022, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 515, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:40:03,VMC-3Axis, AVAILABLE, X0.387210 Y-0.902437, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 516, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:40:250,VMC-3Axis, AVAILABLE, X0.294581 Y-0.934678, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 517, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
4/1/2016 13:36:40:484,VMC-3Axis, AVAILABLE, X0.199389 Y-0.957459, SPINDLE, UNAVAILABLE, UNAVAILABLE, ARMED, ACTIVE, 518, AUTOMATIC, UNAVAILABLE, ON, FLANGE_CAM.NGC, UNAVAILABLE
